,PhraseNo,Phrase,IsHateSpeech,cleaned_phrase
517,518,රනිල්ව එලවන්න ඕන නම් ඒක විශ්වාසභංගයක් හෝ අය වැය පරාජය කිරීමක් මගින් පහසුවෙන් සහ විවස්ථාව කඩ නොවෙන ආකාරයට කරන්න තිබුණා ලෝකයා හිනස්සන්නේ නැතුව,YES,රනිල්ව එලවන්න ඕන නම් ඒක විශ්වාසභංගයක් හෝ අය වැය පරාජය කිරීමක් මගින් පහසුවෙන් සහ විවස්ථාව කඩ නොවෙන ආකාරයට කරන්න තිබුණා ලෝකයා හිනස්සන්නේ නැතුව
519,520,දෙමාපියන් මෙහෙම අසරන කරන්නෙ ඇයි දෙවියනි,NO,දෙමාපියන් මෙහෙම අසරන කරන්නෙ ඇයි දෙවියනි
520,521,"
මුළු ලෝකයම අපට විශාල ගැටලුවක් තිබේ: මුස්ලිම්වරු! මම ඉන්නේ යුරෝපයෙන් සහ තවත් මුස්ලිම් ජාතිකයන් අප වෙත පැමිණි අතර ඔවුන් වඩාත් අපරාධ සහ අප වෙත එරෙහිව සටන් කරති. අපි සියල්ලන්ම මුස්ලිම්වරු සියලු දෙනාටම ලෝකය නවත්වන්නෙමු!",YES,"
මුළු ලෝකයම අපට විශාල ගැටලුවක් තිබේ  මුස්ලිම්වරු  මම ඉන්නේ යුරෝපයෙන් සහ තවත් මුස්ලිම් ජාතිකයන් අප වෙත පැමිණි අතර ඔවුන් වඩාත් අපරාධ සහ අප වෙත එරෙහිව සටන් කරති  අපි සියල්ලන්ම මුස්ලිම්වරු සියලු දෙනාටම ලෝකය නවත්වන්නෙමු "
521,522,"
පළමුව, ඔබේ ජනතාව අහිංසක මිනිසා ඝාතනය කිරීමේ ක්රියාවලිය ආරම්භ කරමු. ඔයා හැමෝටම මිලක් ගෙවන්න වෙනවා ... රුධිරයට රුධිරය .... ඒ සියල්ලම. ඔබ සිවිල් යුද්ධය ආරම්භ කරමු ... අපි එය දන්නවා.",YES,"
පළමුව  ඔබේ ජනතාව අහිංසක මිනිසා ඝාතනය කිරීමේ ක්රියාවලිය ආරම්භ කරමු  ඔයා හැමෝටම මිලක් ගෙවන්න වෙනවා     රුධිරයට රුධිරය      ඒ සියල්ලම  ඔබ සිවිල් යුද්ධය ආරම්භ කරමු     අපි එය දන්නවා "
522,523,"
ඔයා? අපගේ සොල්දාදුවන්ට දොස් කියන්නෙමු! අපේ ඊනියා මුස්ලිම් ඇමතිවරුන් 22 දෙනා කරන්නේ කුමක් ද?",YES,"
ඔයා  අපගේ සොල්දාදුවන්ට දොස් කියන්නෙමු  අපේ ඊනියා මුස්ලිම් ඇමතිවරුන් 22 දෙනා කරන්නේ කුමක් ද "
523,524,"
ලංකාවෙන් පිටවෙන්න",YES,"
ලංකාවෙන් පිටවෙන්න"
524,525,"
ශ්රී ලාංකික මුස්ලිම්වරුන් වෙනුවෙන් යාච්ඤා කරන්න. ශ්රී ලංකා බෞද්ධ බෝධීන් වහන්සේලාට ප්රහාරයක්",NO,"
ශ්රී ලාංකික මුස්ලිම්වරුන් වෙනුවෙන් යාච්ඤා කරන්න  ශ්රී ලංකා බෞද්ධ බෝධීන් වහන්සේලාට ප්රහාරයක්"
527,528,එය මුළු ලෝකයම කොහෙත්ම නොපෙනෙන තත්ත්වයක් බවට පත් වේ. මුස්ලිම්වරු සමහර විට මුස්ලිම්වරුන් සමහර විට විනාශ කරති.,NO,එය මුළු ලෝකයම කොහෙත්ම නොපෙනෙන තත්ත්වයක් බවට පත් වේ  මුස්ලිම්වරු සමහර විට මුස්ලිම්වරුන් සමහර විට විනාශ කරති 
528,529,මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ,YES,මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ
529,530,"
මුස්ලිම්වරු ප්රකෝප කිරීම නවත්වන්න: ඔවුන් දින 17 ක් දිනකට ශාප කරති!",YES,"
මුස්ලිම්වරු ප්රකෝප කිරීම නවත්වන්න  ඔවුන් දින 17 ක් දිනකට ශාප කරති "
530,531,"
ඔව්, මුස්ලිම්වරු උඹේ ඩෝග්ස් ... එපා ... එපා මොනතරම් ලජ්ජාවක්ද! ඉස්ලාමිය",YES,"
ඔව්  මුස්ලිම්වරු උඹේ ඩෝග්ස්     එපා     එපා මොනතරම් ලජ්ජාවක්ද  ඉස්ලාමිය"
531,532,"කිසිම කිතුනුවකු යාච්ඤා කළ යුතු අතර, මුස්ලිම්වරුන් සාමකාමී ලෙස ක්රිස්තියානි ආගමට හැරවීමට උත්සාහ කරති",NO,කිසිම කිතුනුවකු යාච්ඤා කළ යුතු අතර  මුස්ලිම්වරුන් සාමකාමී ලෙස ක්රිස්තියානි ආගමට හැරවීමට උත්සාහ කරති
532,533,නොම්මර එකේ බුකී කාරයා සභාපති පුටුවේ තියන් ටෙස්ට් තත්වෙ හරි රැකගෙන ඉන්නවට අපේ කොල්ලො ටිකට තැගි දෙන්න ඕනෙ...,NO,නොම්මර එකේ බුකී කාරයා සභාපති පුටුවේ තියන් ටෙස්ට් තත්වෙ හරි රැකගෙන ඉන්නවට අපේ කොල්ලො ටිකට තැගි දෙන්න ඕනෙ   
533,534,.දැක්ක නේ පිච් කපල මැච් විකුනපු හැටි..ටොස් දිනල මැච් විකුණපු හැටි...මාලිංගට බෝල් නොදී මැච් විකුණපු හැටි.. 350 ක් ගහන්න පුඵවන් මැච් එකේ කොහේවත් නැති එකෙක් බැට් එක උස්සන් ඇවිත් 313 ට ලකුණු සීමා කරලා මැව් පරද්දපු හැටි.........,NO, දැක්ක නේ පිච් කපල මැච් විකුනපු හැටි  ටොස් දිනල මැච් විකුණපු හැටි   මාලිංගට බෝල් නොදී මැච් විකුණපු හැටි   350 ක් ගහන්න පුඵවන් මැච් එකේ කොහේවත් නැති එකෙක් බැට් එක උස්සන් ඇවිත් 313 ට ලකුණු සීමා කරලා මැව් පරද්දපු හැටි         
534,535,අනේ...මේ කිරිකැටියන්ට තේරෙනවයැ ඇඳට ගෙනියනකන් ඕව! තම්බියොන්ට චූටි කෙල්ලොන්ගෙන් උපරිම සතුට ගැනීමට සහ සමස්ත ඉස්ලාම් පිරිමින්ගේ වාසියට ම ඔවුන්ගේ ලොක්කා සාදා ගොස් තිබෙන ආගමික නීතියේ අප දකින එක් විවාහ උත්සවයක් පමණි මේ!,YES,අනේ   මේ කිරිකැටියන්ට තේරෙනවයැ ඇඳට ගෙනියනකන් ඕව  තම්බියොන්ට චූටි කෙල්ලොන්ගෙන් උපරිම සතුට ගැනීමට සහ සමස්ත ඉස්ලාම් පිරිමින්ගේ වාසියට ම ඔවුන්ගේ ලොක්කා සාදා ගොස් තිබෙන ආගමික නීතියේ අප දකින එක් විවාහ උත්සවයක් පමණි මේ 
535,536,"අද ජාතිවාදී ලේබලයට බොරු බියක් ඇති කර ගෙන නිහඬව සිටින ඔබට යි මේ කියන්නේ... ඔබලා නං කාලා බීලා ජොලියෙන් ඉඳලා හරි හම්බත් කරලා මැරිල යයි! මතු දිනෙක ඔබේ මිණිබිරිය හෝ ඔවුන්ගේ ¥වරු මුස්ලිම් ලංකාවක, මෙම ව්‍යසනයට ගොදුරු වනවා නිසැක ය.",YES,අද ජාතිවාදී ලේබලයට බොරු බියක් ඇති කර ගෙන නිහඬව සිටින ඔබට යි මේ කියන්නේ    ඔබලා නං කාලා බීලා ජොලියෙන් ඉඳලා හරි හම්බත් කරලා මැරිල යයි  මතු දිනෙක ඔබේ මිණිබිරිය හෝ ඔවුන්ගේ ¥වරු මුස්ලිම් ලංකාවක  මෙම ව්‍යසනයට ගොදුරු වනවා නිසැක ය 
536,537,"අනෙක් වැදගත් ම දෙය නම් බෞද්ධයන් පුනර්භවය විශ්වාස කරනා බැවින්, ඔබගේ මීළඟ භවයේ දී ඔබ ම ඔබගේ මුණුබුරු පරම්පරාවට මෙසේ දාව ඉපිද මෙම ඛේදජනක ඉරණමට ගොදුරක් වී එදාට අපා දුක් විඳින්නේ ය…",NO,අනෙක් වැදගත් ම දෙය නම් බෞද්ධයන් පුනර්භවය විශ්වාස කරනා බැවින්  ඔබගේ මීළඟ භවයේ දී ඔබ ම ඔබගේ මුණුබුරු පරම්පරාවට මෙසේ දාව ඉපිද මෙම ඛේදජනක ඉරණමට ගොදුරක් වී එදාට අපා දුක් විඳින්නේ ය…
537,538,පාරිභෝගිකයින් ගොනාට අන්දවා අරාබියට සල්ලි අදින එටිසලාට් ශ‍්‍රී ලංකාවේ ෑම නගරයක ම මුස්ලිම් පල්ලි සැදීමට ප‍්‍රධාන අනුග‍්‍රාහකත්වය. සිංහලයාගේ සල්ලි ටික හූර ගෙන කාලා හම්බ ගුබ්බෑයම් හදනවා ලංකාව පුරාවට ම. එටිසලාට් වර්ජනය කරපල්ලා දැන් වත් සිංහලූනේ,YES,පාරිභෝගිකයින් ගොනාට අන්දවා අරාබියට සල්ලි අදින එටිසලාට් ශ‍්‍රී ලංකාවේ ෑම නගරයක ම මුස්ලිම් පල්ලි සැදීමට ප‍්‍රධාන අනුග‍්‍රාහකත්වය  සිංහලයාගේ සල්ලි ටික හූර ගෙන කාලා හම්බ ගුබ්බෑයම් හදනවා ලංකාව පුරාවට ම  එටිසලාට් වර්ජනය කරපල්ලා දැන් වත් සිංහලූනේ
538,539,"සිංහයනි, අපි තව දුරටත් නිදා ගෙන සිටිය හොත් අනාගතයේ අපේ සිංහ පැටවුන් මෙවැනි ම වූ ම්ලේච්ඡුයන්ට ගොදුරු වීම වැළැක්විය නොහැකි ය.",NO,සිංහයනි  අපි තව දුරටත් නිදා ගෙන සිටිය හොත් අනාගතයේ අපේ සිංහ පැටවුන් මෙවැනි ම වූ ම්ලේච්ඡුයන්ට ගොදුරු වීම වැළැක්විය නොහැකි ය 
539,540,ඇයි දෙයියනේ මට ඉස්ලාම් මිනිහෙක්ව කසාද බඳින්න සිද්ධ වුණේ! මොන පව්කාරකමකට ද මං මුස්ලිම් වෙලා ඉපදුණේ…,YES,ඇයි දෙයියනේ මට ඉස්ලාම් මිනිහෙක්ව කසාද බඳින්න සිද්ධ වුණේ  මොන පව්කාරකමකට ද මං මුස්ලිම් වෙලා ඉපදුණේ…
540,541,මොහුගේ මව අප වෙත අදහස් දැක්වූයේ මගේ පුතා මැරුණත් මේ බෝධිය රැුක ගත යුතු බව යි. බෙදාහදා ගනිමින් මුස්ලිම් ත‍්‍රස්තවාදයට විරුද්ධත්වය පළ කරන්න!,YES,මොහුගේ මව අප වෙත අදහස් දැක්වූයේ මගේ පුතා මැරුණත් මේ බෝධිය රැුක ගත යුතු බව යි  බෙදාහදා ගනිමින් මුස්ලිම් ත‍්‍රස්තවාදයට විරුද්ධත්වය පළ කරන්න 
543,544,ඇන්ජලෝ මැතිව්ස්ගේ ගොබ්බ නායකත්වයට පිං සිද්ද වෙන්න..,YES,ඇන්ජලෝ මැතිව්ස්ගේ ගොබ්බ නායකත්වයට පිං සිද්ද වෙන්න  
544,545,ඔයාගේ පේජ් එකේ නම වීඩියෝ එකට දාගන්න ඔයාද ඔය වීඩියෝ එක කරේ?? තමන්ගේ පේජ් එකට වාසියක් ගන්න හදනවා නම් අඩුම තරමේ මේ වීඩියෝ එක කරපු මුල් අයිතිකරුට ස්තූතියි කියන්නවත් පුරුදු වෙන්න...,NO,ඔයාගේ පේජ් එකේ නම වීඩියෝ එකට දාගන්න ඔයාද ඔය වීඩියෝ එක කරේ   තමන්ගේ පේජ් එකට වාසියක් ගන්න හදනවා නම් අඩුම තරමේ මේ වීඩියෝ එක කරපු මුල් අයිතිකරුට ස්තූතියි කියන්නවත් පුරුදු වෙන්න   
545,546,මුස්ලිම් අයට නම් සහජීවන නීතිය හෙල්මට් නැතිව ගියාට අවුලක් නැ..?,YES,මුස්ලිම් අයට නම් සහජීවන නීතිය හෙල්මට් නැතිව ගියාට අවුලක් නැ   
546,547,අපේම සිංහළයන්ගේ නිෂ්පාදන ගන්න සිංහළ වෙළද අධිකාරියක් ගොඩ නගමු.,YES,අපේම සිංහළයන්ගේ නිෂ්පාදන ගන්න සිංහළ වෙළද අධිකාරියක් ගොඩ නගමු 
547,548,"ආඩම්බරෙන් වෙල්ලස්සේ කිව්වට,ජාතික වීරයෝ ගැන කිව්වට උන් ඉන්න තැනක ඉදන් අපිට හෙන ගහන්න කියනව ඇති. හුඟාක් අය දකින්නෙ නැතුව ඇති, එක්කෝ ගානක් නැතුව ඇති",NO,ආඩම්බරෙන් වෙල්ලස්සේ කිව්වට ජාතික වීරයෝ ගැන කිව්වට උන් ඉන්න තැනක ඉදන් අපිට හෙන ගහන්න කියනව ඇති  හුඟාක් අය දකින්නෙ නැතුව ඇති  එක්කෝ ගානක් නැතුව ඇති
549,550,බල්ලන්ගේ ලේ බැලිමේ පිපාසයෙන් පෙලෙන මුස්තාපා.,YES,බල්ලන්ගේ ලේ බැලිමේ පිපාසයෙන් පෙලෙන මුස්තාපා 
550,551,රාවුෆ් හකීම් කියන පරයා නැගෙනහිර මහපුටුව මුස්ලිම් කොංග්‍රසයට ඉල්ලනවලු. පිනට දෙන්න මූ හිතුවද දන්නෙ නෑ නැගෙනහිර මුගෙ.,YES,රාවුෆ් හකීම් කියන පරයා නැගෙනහිර මහපුටුව මුස්ලිම් කොංග්‍රසයට ඉල්ලනවලු  පිනට දෙන්න මූ හිතුවද දන්නෙ නෑ නැගෙනහිර මුගෙ 
551,552,සිංහලයා මෝඩයා කැවුම් කන්න සූරයා,YES,සිංහලයා මෝඩයා කැවුම් කන්න සූරයා
552,553,"පෝස්ට් එකක් ෂෙයා කිරිම හෝ නොකිරිම ගැන විමසීමට වඩා අවබෝධ කරගත යුත්තේ,සිංහලයා මැරු මුස්ලිමානුවෝ පර බල්ලෝ..",YES,පෝස්ට් එකක් ෂෙයා කිරිම හෝ නොකිරිම ගැන විමසීමට වඩා අවබෝධ කරගත යුත්තේ සිංහලයා මැරු මුස්ලිමානුවෝ පර බල්ලෝ  
553,554,” ඔයාට ඒක වැඩක් නෑනේ- පර සිංහලයා බැහැපිය එළියට”අයුක්තිය රජයන ඉකිරිගොල්ලෑවේ වසීම් හෝටලය,YES,” ඔයාට ඒක වැඩක් නෑනේ  පර සිංහලයා බැහැපිය එළියට”අයුක්තිය රජයන ඉකිරිගොල්ලෑවේ වසීම් හෝටලය
555,556,"සිංහලයා බල්ලාට දමා .....සුද්දාට,පර දෙමළාට සහ තම්බියාට ගිය රටක්....",YES,සිංහලයා බල්ලාට දමා      සුද්දාට පර දෙමළාට සහ තම්බියාට ගිය රටක්    
558,559,ෆොන්සේකා සිරිසේනගේ අමුඩය ඔලුවෙන් ගලවයි,YES,ෆොන්සේකා සිරිසේනගේ අමුඩය ඔලුවෙන් ගලවයි
559,560,"හර්ශ ආචාරියා කොලෙත් ඉරාගෙන ඇඟෙත් හළාගෙන! දැන් ඉඳුල් ඇඟේ උලාගෙන,
මේකගෙ මොලේ ලුණු ගොරකා දාලා ජාඩි දාගන්න හිතෙනවා,
මූතමයි කිව්වේ රුපියල බාල්දුවෙනවිට ,ඩොලරය නගිනවිට පොදු මිනිහා අතට රුපියල් ගොඩාක් එනවා, සතුටු වෙන්න එපායැ කියලා, අනේ අම්මපා මූට දීපු ආචාරියා පට්ටම",YES,"හර්ශ ආචාරියා කොලෙත් ඉරාගෙන ඇඟෙත් හළාගෙන  දැන් ඉඳුල් ඇඟේ උලාගෙන 
මේකගෙ මොලේ ලුණු ගොරකා දාලා ජාඩි දාගන්න හිතෙනවා 
මූතමයි කිව්වේ රුපියල බාල්දුවෙනවිට  ඩොලරය නගිනවිට පොදු මිනිහා අතට රුපියල් ගොඩාක් එනවා  සතුටු වෙන්න එපායැ කියලා  අනේ අම්මපා මූට දීපු ආචාරියා පට්ටම"
560,561,යාලුවන‌ේ අද අපි පිං වැඩක් කරා.කුලියාපිටිය‌ෙ බස් නැවතුම‌ෙ ඉන්න අසරණ මනුස්සය‌ෙක්ග‌ෙ බඩගින්න නිමුවා. පස්ස‌ෙ අැදුනුත් අරන් දුන්නා.,NO,යාලුවන‌ේ අද අපි පිං වැඩක් කරා කුලියාපිටිය‌ෙ බස් නැවතුම‌ෙ ඉන්න අසරණ මනුස්සය‌ෙක්ග‌ෙ බඩගින්න නිමුවා  පස්ස‌ෙ අැදුනුත් අරන් දුන්නා 
561,562,අවංකවම සතුටුයි.කන්න දීල ප‌ොට‌ෝ ගහල ම‌ේකට දැම්ම‌ෙ ඔයාලවත් හ‌ොද මනුස්සය‌ො කරන්න උවමනාව නිසයි. බුදු සරණයි...,NO,අවංකවම සතුටුයි කන්න දීල ප‌ොට‌ෝ ගහල ම‌ේකට දැම්ම‌ෙ ඔයාලවත් හ‌ොද මනුස්සය‌ො කරන්න උවමනාව නිසයි  බුදු සරණයි   
563,564,නන්නත්තාරයි නේද..,NO,නන්නත්තාරයි නේද  
564,565,නියමයි බන්...,NO,නියමයි බන්   
565,566,"දනිස්, උරහිස් වහගෙන අපි පිදුරංගල යන්න ඕනි. මේක හරිම පූජනීය තැනක්",NO,දනිස්  උරහිස් වහගෙන අපි පිදුරංගල යන්න ඕනි  මේක හරිම පූජනීය තැනක්
566,567,සුද්දි අපිට කියලා දුන්නු පිදුරංගල වටිනාකම,NO,සුද්දි අපිට කියලා දුන්නු පිදුරංගල වටිනාකම
567,568,පුක පෙන්නපු හරක් වැදපන් මෙ සුද්දිට දනගහලා උන් ලංකාවට ඇවිත් ලන්කාවෙ එව්න්ට උගන්නල යනවා හැසිරෙන්න ඔන විදිහ ලැජ්ජයි යකො වහා කපියව්,YES,පුක පෙන්නපු හරක් වැදපන් මෙ සුද්දිට දනගහලා උන් ලංකාවට ඇවිත් ලන්කාවෙ එව්න්ට උගන්නල යනවා හැසිරෙන්න ඔන විදිහ ලැජ්ජයි යකො වහා කපියව්
568,569,"අපේ රටේ ඉන්නෙ පට්ටි වලත් නැති පට්ට හරක් බං..
මොකෙක් හරි හරකෙක් මොකක් හරි හරක් වැඩක් කලාම අනිත් හරක් ඔක්කොමත් ඒක කරනව..",YES,"අපේ රටේ ඉන්නෙ පට්ටි වලත් නැති පට්ට හරක් බං  
මොකෙක් හරි හරකෙක් මොකක් හරි හරක් වැඩක් කලාම අනිත් හරක් ඔක්කොමත් ඒක කරනව  "
569,570,මේ සංචාරකයෝ සිගිරි යන්න රු.2500 විතර ටිකට් එකක් ගන්නව.ගිහින් එ් මිනිස්සුන්ගෙ හැදිච්ච කම ලෝකෙටම පෙන්වනව,NO,මේ සංචාරකයෝ සිගිරි යන්න රු 2500 විතර ටිකට් එකක් ගන්නව ගිහින් එ් මිනිස්සුන්ගෙ හැදිච්ච කම ලෝකෙටම පෙන්වනව
570,571,අපේ මොට්ටයො නිකන් ගිහින් නිරුවත ලෝකෙට පෙන්වනව....හැබැයි ඔවුන් දන්නැ සුද්ද දිපු ඩොලරයෙන් ලංකාව ශක්තිමත් වෙනව.....මේ මිනිස්සු හිතන් ඉන්නෙ හෙලුව කියන්නෙ මාකට් එකක් කියල.,NO,අපේ මොට්ටයො නිකන් ගිහින් නිරුවත ලෝකෙට පෙන්වනව    හැබැයි ඔවුන් දන්නැ සුද්ද දිපු ඩොලරයෙන් ලංකාව ශක්තිමත් වෙනව     මේ මිනිස්සු හිතන් ඉන්නෙ හෙලුව කියන්නෙ මාකට් එකක් කියල 
571,572,ලංකාව තමයි බුරුවන්ගේ රාජධානිය. එකනේ උන් එකතුවෙලා අට පාස් එකෙක්ව උන්ගේ නායකයා වගේ පත්කරගෙන ඌ කියන ගොන් කතා වලට හුරේ දදා ඉන්නේ.,YES,ලංකාව තමයි බුරුවන්ගේ රාජධානිය  එකනේ උන් එකතුවෙලා අට පාස් එකෙක්ව උන්ගේ නායකයා වගේ පත්කරගෙන ඌ කියන ගොන් කතා වලට හුරේ දදා ඉන්නේ 
572,573,අර මන්ත්‍රී තුමා කරපු ජරා වැඩෙි නිසා රටේ නම ගූ වුනා.ඵ්ත් සාමාන්‍ය ජනතාව කෙතරම් අවංකද යන්නට අපූරු නිදසුනක් !ඒ තරැනයන් දෙදෙනා පුසිද්ධියේ අගැයීමකට ලක් කල යුත්තේ මෙය සංචාරකයන් අරභයා වුන සිදුවීම ක් නිසා ඇති විශේෂත්ය නිසයි,YES,අර මන්ත්‍රී තුමා කරපු ජරා වැඩෙි නිසා රටේ නම ගූ වුනා ඵ්ත් සාමාන්‍ය ජනතාව කෙතරම් අවංකද යන්නට අපූරු නිදසුනක්  ඒ තරැනයන් දෙදෙනා පුසිද්ධියේ අගැයීමකට ලක් කල යුත්තේ මෙය සංචාරකයන් අරභයා වුන සිදුවීම ක් නිසා ඇති විශේෂත්ය නිසයි
573,574,නුවර විතරක් නෙමේ රටේ ඕන තැනක ඉන්න බහුතරයක් ලාංකීකයෝ ඔක්කෝම එහෙමයි....රටක් විදියට සතුටු වෙලා රටක් විදියට ඉස්සරහට එන්න ඕනා සිද්ධියක්....,NO,නුවර විතරක් නෙමේ රටේ ඕන තැනක ඉන්න බහුතරයක් ලාංකීකයෝ ඔක්කෝම එහෙමයි    රටක් විදියට සතුටු වෙලා රටක් විදියට ඉස්සරහට එන්න ඕනා සිද්ධියක්    
574,575,ඒකට සුද්දිට බැනල වැඩක් නෑ,NO,ඒකට සුද්දිට බැනල වැඩක් නෑ
575,576,ලංකාවෙ ඉස්කෝල වල උගන්නන්නෙත් සීගිරිය කාශ්‍යප හැදුවා කියලයි. ඉස්සරලම රාවන රජතුමා ගැන අපේ මිනිස්සුන්ට උගන්නන්ඩ ඕන.,NO,ලංකාවෙ ඉස්කෝල වල උගන්නන්නෙත් සීගිරිය කාශ්‍යප හැදුවා කියලයි  ඉස්සරලම රාවන රජතුමා ගැන අපේ මිනිස්සුන්ට උගන්නන්ඩ ඕන 
576,577,"රජදරුවන්ගේ මග පෙන්විමෙන් එකල සිටි අපේ ගල් කැටයම්කරුවන්,(ඉංජිනේරු )ට ගරු කිරිමට හුරු වෙමු.",NO,රජදරුවන්ගේ මග පෙන්විමෙන් එකල සිටි අපේ ගල් කැටයම්කරුවන්  ඉංජිනේරු  ට ගරු කිරිමට හුරු වෙමු 
577,578,"ලංකාවේ නම කැවා අපේ රටේ හරක් , අපේ රටේ ලස්සන ,ඉතිහාසය , රහතන්වහන්සේලාට රහත්වෙන්න සුදුසු පරිසරයෙ වටිනාකමට හානිවෙන්න දෙන්න එපා,තෙරුවන් සරණයි",NO,ලංකාවේ නම කැවා අපේ රටේ හරක්   අපේ රටේ ලස්සන  ඉතිහාසය   රහතන්වහන්සේලාට රහත්වෙන්න සුදුසු පරිසරයෙ වටිනාකමට හානිවෙන්න දෙන්න එපා තෙරුවන් සරණයි
578,579,අපේ දේවල් අපිට වැදගත් නැති හැටියක්..ඒ මිනිස්සු එහෙ ඉදන් මෙහෙ ඇවිත් අපේ දේවල් වල වටිනාකම වැදගත්කම අපිට කියල දීල යනව.,NO,අපේ දේවල් අපිට වැදගත් නැති හැටියක්  ඒ මිනිස්සු එහෙ ඉදන් මෙහෙ ඇවිත් අපේ දේවල් වල වටිනාකම වැදගත්කම අපිට කියල දීල යනව 
579,580,අම්මා වටේ ගිහින් ජාතක කරපු උන් කැත වැඩ කලාට සමස්ථයක් බෞද්ධයන් එහෙම නෑ.. මේ තරුණිය කොතරම් ආදර්ශක්ද..,YES,අම්මා වටේ ගිහින් ජාතක කරපු උන් කැත වැඩ කලාට සමස්ථයක් බෞද්ධයන් එහෙම නෑ   මේ තරුණිය කොතරම් ආදර්ශක්ද  
580,581,අපේ මිනිස්සුන්ට අපේ මුතුන් මිත්තො කල විශ්මිත දේවල් වල අගයක් නෑ නොදැනෙන තරමටම මොල වලින් හිතන විදිහ ආකල්ප ගති සිරිත් වෙනස් කරලා...,NO,අපේ මිනිස්සුන්ට අපේ මුතුන් මිත්තො කල විශ්මිත දේවල් වල අගයක් නෑ නොදැනෙන තරමටම මොල වලින් හිතන විදිහ ආකල්ප ගති සිරිත් වෙනස් කරලා   
581,582,පිටරටකට ගියාම තේරෙණවා අපි මීට වසර දහසකට පෙර ඉඳල තියන්නෙ ලෝකයට කොච්චර ඉදිරියෙන්ද කියල....සුද්දො මේවා වැනසුවෙි නෑ... වනසන තැනට අපේ එවුන්ගෙ මොල හැදුවා...ඒක තමයි එදා අනගාරික ධර්මපාල තුමා කිව්වෙ....,NO,පිටරටකට ගියාම තේරෙණවා අපි මීට වසර දහසකට පෙර ඉඳල තියන්නෙ ලෝකයට කොච්චර ඉදිරියෙන්ද කියල    සුද්දො මේවා වැනසුවෙි නෑ    වනසන තැනට අපේ එවුන්ගෙ මොල හැදුවා   ඒක තමයි එදා අනගාරික ධර්මපාල තුමා කිව්වෙ    
582,583,ලෝකයටම වෙද කම ඉගැන්වූ අපේ ගුණ ගරුක රාවණා ද්‍රෝහියෙක් කර වාල්මිකී ලියූ රාමායනය පාසලේ උගන්වනවා....ජාතිය අවදිකල නිදහස් තොටිල්ල.....ලියූ එස් මහින්ද හිමි ජාතිවාදියෙක් වෙනවා.... අපි නැවත හිතමු...මුල සිටම..,NO,ලෝකයටම වෙද කම ඉගැන්වූ අපේ ගුණ ගරුක රාවණා ද්‍රෝහියෙක් කර වාල්මිකී ලියූ රාමායනය පාසලේ උගන්වනවා    ජාතිය අවදිකල නිදහස් තොටිල්ල     ලියූ එස් මහින්ද හිමි ජාතිවාදියෙක් වෙනවා     අපි නැවත හිතමු   මුල සිටම  
584,585,"වටිනාකම සහ උරුමයන් වෙනුවෙන් මාධ්‍ය මෙහෙවර තවත් පුළුල් කිරීමට හැකිවේවා,,,,",NO,වටිනාකම සහ උරුමයන් වෙනුවෙන් මාධ්‍ය මෙහෙවර තවත් පුළුල් කිරීමට හැකිවේවා    
585,586,මතවාද වලින් සුබවාදී ගෞරවාන්විත මතවාද ඇතිකිරීමට මාධ්‍යට කළහැකි දේ බොහෝයි...,NO,මතවාද වලින් සුබවාදී ගෞරවාන්විත මතවාද ඇතිකිරීමට මාධ්‍යට කළහැකි දේ බොහෝයි   
586,587,බිලි⁣දෙකු නිරුවතින් ඉපදීම අර දෙදාස් පන්සීයෙ මෙව්වා එකට අකැප නිසා මව විසින් දරු ප්‍රසූතියට පෙර ළමා ඇදුමක් ගිලිය යුතු බvවට නීති පැනවිය යුතුය.,YES,බිලි⁣දෙකු නිරුවතින් ඉපදීම අර දෙදාස් පන්සීයෙ මෙව්වා එකට අකැප නිසා මව විසින් දරු ප්‍රසූතියට පෙර ළමා ඇදුමක් ගිලිය යුතු බvවට නීති පැනවිය යුතුය 
590,591,ගිය තැන ගම කන පරපුර ක් අද සමාජයේ ඉන්නේ ...සුද්දි දකින දේ....අපේ උන්ට දකින්නට මොලයක් තියෙන්න එපායැ ...,NO,ගිය තැන ගම කන පරපුර ක් අද සමාජයේ ඉන්නේ    සුද්දි දකින දේ    අපේ උන්ට දකින්නට මොලයක් තියෙන්න එපායැ    
