,PhraseNo,Phrase,IsHateSpeech,cleaned_phrase
491,492,Kwd hutho thmge kollt bainkm bln inn geni.munt benla wedk ne mun badu gon badu.oya eha peththe inn anith hiaptuwa oka isra amma gena sindu qwe eda asewn e dewl ghuwe ada mu ponneyk thani ponnya.thwa deyk oya හසිනිගෙ wedding ekt ek wedgth kiyn nluwek awd ne ekn hitha gnn puwnm mun serm badu kiyla. ලංකාවේ සංස්කෘතිය බල්ලට වැටිලා.munwa ෆොම් krnn epa bolw.,YES,Kwd hutho thmge kollt bainkm bln inn geni munt benla wedk ne mun badu gon badu oya eha peththe inn anith hiaptuwa oka isra amma gena sindu qwe eda asewn e dewl ghuwe ada mu ponneyk thani ponnya thwa deyk oya හසිනිගෙ wedding ekt ek wedgth kiyn nluwek awd ne ekn hitha gnn puwnm mun serm badu kiyla  ලංකාවේ සංස්කෘතිය බල්ලට වැටිලා munwa ෆොම් krnn epa bolw 
492,493,Niraparade nasthi una jeewitha. Vivahaya kiyana eka meyalata sellamak. Ada banda heta divorce una hariyata instant noodles ekak wage. Vivahaya kiyana wachne hari therumawath danne na meyala. Giya athme karapu pawak me gewanne e unata eka therum ganna ba danma meyalata. Thawa awrudu 30k yaddi therei. Lassana pawl jeewithayak gewannath pina thiyenna ona. E pina meyalata na. Karmayata anuwa meyalage me jeewitheth idiri jeewithayath theeranaya wei,YES,Niraparade nasthi una jeewitha  Vivahaya kiyana eka meyalata sellamak  Ada banda heta divorce una hariyata instant noodles ekak wage  Vivahaya kiyana wachne hari therumawath danne na meyala  Giya athme karapu pawak me gewanne e unata eka therum ganna ba danma meyalata  Thawa awrudu 30k yaddi therei  Lassana pawl jeewithayak gewannath pina thiyenna ona  E pina meyalata na  Karmayata anuwa meyalage me jeewitheth idiri jeewithayath theeranaya wei
493,494,"මල ලතෝනි අහල අහල හෙම්බත් වෙලා හිටපු කලෙක මේ වගේ සුප්පා songs කරනවට ගොඩක් තැන්ක්ස් බ්‍රෝ.සුබ පතනවා. මම මේක සිය වතාවක් විතර අහන්න ඇති. සින්දුවක් කියන්නේ මොකක්ද කියල කිවොත් අනිත් නිරුවත මාකට් කරන උන්ටයි, මල ගෙදරක වගේ ලතෝනි තියන උන්ටයි කනට දෙකක් ගහල සනුකව පෙන්නන අපිට පුළුවන්. උබ අලුත් යුගයක අලුත් පරම්පරාවක ආරම්බය බන්.සතුටුයි",YES,මල ලතෝනි අහල අහල හෙම්බත් වෙලා හිටපු කලෙක මේ වගේ සුප්පා songs කරනවට ගොඩක් තැන්ක්ස් බ්‍රෝ සුබ පතනවා  මම මේක සිය වතාවක් විතර අහන්න ඇති  සින්දුවක් කියන්නේ මොකක්ද කියල කිවොත් අනිත් නිරුවත මාකට් කරන උන්ටයි  මල ගෙදරක වගේ ලතෝනි තියන උන්ටයි කනට දෙකක් ගහල සනුකව පෙන්නන අපිට පුළුවන්  උබ අලුත් යුගයක අලුත් පරම්පරාවක ආරම්බය බන් සතුටුයි
495,496,Me song eke sansara sihinaya tittle ekath dapu eke ma nubhe kumara kiyala demmanam hodai mokada ekane wediyenma kiyanne,YES,Me song eke sansara sihinaya tittle ekath dapu eke ma nubhe kumara kiyala demmanam hodai mokada ekane wediyenma kiyanne
496,497,ළඟ ළඟ head එක යවන්නෙපා බොල...... සරාගයේ පිස්සුව හොඳ වෙන්නත් කලිං මේක..... හඳේ ඉඩං කෑල්ලක් ගන්න වෙයි වගේ. Suppper Song Bro....,YES,ළඟ ළඟ head එක යවන්නෙපා බොල       සරාගයේ පිස්සුව හොඳ වෙන්නත් කලිං මේක      හඳේ ඉඩං කෑල්ලක් ගන්න වෙයි වගේ  Suppper Song Bro    
497,498,Fil T කාලා ලෙසටම නැත්තන් ඔච්චර නහයෙන් අඬ අඬ මෙහෙම ගැහුවා අරහෙම ගැහුවා කියන් නෑ,YES,Fil T කාලා ලෙසටම නැත්තන් ඔච්චර නහයෙන් අඬ අඬ මෙහෙම ගැහුවා අරහෙම ගැහුවා කියන් නෑ
500,501,ආතල් එකේ ඉන්න කොල්ලෙක්ට කෙල්ලෙක් සෙට් උන මුල්ම දවස් වල කෙල්ල - ඔයා මරු අනේ.. නිතරම විහිලුවෙන්මයි ඉන්නෙ.. ටික කාලෙකට පස්සෙ කෙල්ල - ඔයාට හැමදේම joke එකක් ද?? ඇයි බං! ඇයි මෙහෙම!!,YES,ආතල් එකේ ඉන්න කොල්ලෙක්ට කෙල්ලෙක් සෙට් උන මුල්ම දවස් වල කෙල්ල   ඔයා මරු අනේ   නිතරම විහිලුවෙන්මයි ඉන්නෙ   ටික කාලෙකට පස්සෙ කෙල්ල   ඔයාට හැමදේම joke එකක් ද   ඇයි බං  ඇයි මෙහෙම  
503,504,fity උබ රටට ලොකු විනාශයක් උබ සින්දු කියලා YouTube එකේ අප්ලෝඩ් කරන්නේ දඩාවත වීඩියෝ උබගේ මුහුනේම දඩාවත පෙනුම තියෙනවා කරුණාකරලා ජරාව වීඩියෝ ප්‍රසිද්ධ කරන්න එපා,YES,fity උබ රටට ලොකු විනාශයක් උබ සින්දු කියලා YouTube එකේ අප්ලෝඩ් කරන්නේ දඩාවත වීඩියෝ උබගේ මුහුනේම දඩාවත පෙනුම තියෙනවා කරුණාකරලා ජරාව වීඩියෝ ප්‍රසිද්ධ කරන්න එපා
509,510,OBALAATA...KMID...KARANNA..PRAMAADA..UNAA...MAMA..KAAMA..KANIN..GAMN...DANSALA..BALUWE...GOODAK..PIN..AMATITUMANI....UPADINA...AATMAYAKA...RAAJIYATA...RAJIKMA...WEEWAA....POOHOODINA...BUDUSARANAII,YES,OBALAATA   KMID   KARANNA  PRAMAADA  UNAA   MAMA  KAAMA  KANIN  GAMN   DANSALA  BALUWE   GOODAK  PIN  AMATITUMANI    UPADINA   AATMAYAKA   RAAJIYATA   RAJIKMA   WEEWAA    POOHOODINA   BUDUSARANAII
511,512,Desha palanaya adala naha..kala wade agaya karanawa yate aramuna kese wetath karapo de uthum danayak ..mokada ada Rs 100k wath nathi pawol. ada api athara innawa mahaththayo .. samaharu ahai 100kin mokak karnnada kiyala aeth sathayak.wath nathi welewe ae 100th kotiyak watenawa,YES,Desha palanaya adala naha  kala wade agaya karanawa yate aramuna kese wetath karapo de uthum danayak   mokada ada Rs 100k wath nathi pawol  ada api athara innawa mahaththayo    samaharu ahai 100kin mokak karnnada kiyala aeth sathayak wath nathi welewe ae 100th kotiyak watenawa
513,514,U.n.p.eke badumkara dansalin passe thiyapu palaweni dannsala .u.n.p.. un thaniyama ne kawe badam kare dansala unta hithata madi kamak wenna ethi me ahisaka janathava mudal dansal dena kota,YES,U n p eke badumkara dansalin passe thiyapu palaweni dannsala  u n p   un thaniyama ne kawe badam kare dansala unta hithata madi kamak wenna ethi me ahisaka janathava mudal dansal dena kota
516,517,oyaga Rail mhatayata minisu chanda Dunbar magma koranta tame nmuth it a klalin central bank akata Wada dunana(hour wanuvan horu una),YES,oyaga Rail mhatayata minisu chanda Dunbar magma koranta tame nmuth it a klalin central bank akata Wada dunana hour wanuvan horu una 
518,519,Sobitha hamuduruwo hitiye nathi eka num loku deyak.. un wahanse me de dakke nathi eka hodai eka athakin,YES,Sobitha hamuduruwo hitiye nathi eka num loku deyak   un wahanse me de dakke nathi eka hodai eka athakin
525,526,"Not budda r
terrorists.. Islam terrorists... kohomath Islam kiyanne ithin tharsthawadi agamak ne ithin.. thopila wa pana pitin tiye wala dala gihi thyna a one",YES,"Not budda r
terrorists   Islam terrorists    kohomath Islam kiyanne ithin tharsthawadi agamak ne ithin   thopila wa pana pitin tiye wala dala gihi thyna a one"
526,527,thopila hedigewila yanna one..kalakanni hamba heththa,YES,thopila hedigewila yanna one  kalakanni hamba heththa
541,542,Aulak na kalaya Bangladesh walata kisima wenasak Kerala na...,NO,Aulak na kalaya Bangladesh walata kisima wenasak Kerala na   
542,543,රටටම වෙලා තියෙන දේ හැටියට cricket ගැන මොන කථාද? දෙමව්පියෝ විකුනලා හරි හොයාපල්ලා සල්ලි.හැම තැනම යක්ෂයා රජ වෙලා ඉන්නේ.,YES,රටටම වෙලා තියෙන දේ හැටියට cricket ගැන මොන කථාද  දෙමව්පියෝ විකුනලා හරි හොයාපල්ලා සල්ලි හැම තැනම යක්ෂයා රජ වෙලා ඉන්නේ 
548,549,අන්තර්ජාලයේ හැමතැනම හුවමාරුවෙන නිසා හැමෝටම තේරෙන භාෂාවෙන් සරලව පරිවර්තනය කල නිසයි Logo එක දාලා තියෙන්නේ. වීඩියෝවේ මුල් හිමිකරු ඉන්නවා නම් දන්වන්න. ඔහු ගැන මෙහි සඳහන් කිරීම අපිට කිසිම ගැටලුවක් නෙවෙයි.,NO,අන්තර්ජාලයේ හැමතැනම හුවමාරුවෙන නිසා හැමෝටම තේරෙන භාෂාවෙන් සරලව පරිවර්තනය කල නිසයි Logo එක දාලා තියෙන්නේ  වීඩියෝවේ මුල් හිමිකරු ඉන්නවා නම් දන්වන්න  ඔහු ගැන මෙහි සඳහන් කිරීම අපිට කිසිම ගැටලුවක් නෙවෙයි 
554,555,"පර සිංහලයා මර නින්දේ, බොදු බල සේනාවට බුරන NGO නඩය කියන කතාව",YES,පර සිංහලයා මර නින්දේ  බොදු බල සේනාවට බුරන NGO නඩය කියන කතාව
556,557,Ltte thibba ayudha gaththeth mun thama.,YES,Ltte thibba ayudha gaththeth mun thama 
557,558,Okata dan thawa ekak add wei,NO,Okata dan thawa ekak add wei
562,563,me karapu wede atma 7k diwyaloke ipaden wedak...asarana kamin piditha meweni udgalaynt sawiyak wemu.,NO,me karapu wede atma 7k diwyaloke ipaden wedak   asarana kamin piditha meweni udgalaynt sawiyak wemu 
583,584,Monatharam srestsa rajathumekada. Maha Rawana Raju. Ai minissune amathaka...,NO,Monatharam srestsa rajathumekada  Maha Rawana Raju  Ai minissune amathaka   
587,588,Eheu තැනක අපේම එවුන් ගිහිල්ලා pukai- arakai සේරම එළියට දාල සියළු alukuththeru වැඩ සේරම කරලා ..,YES,Eheu තැනක අපේම එවුන් ගිහිල්ලා pukai  arakai සේරම එළියට දාල සියළු alukuththeru වැඩ සේරම කරලා   
588,589,ලොකුවට ලෝකෙට පෙන්නන්ඩ upload එහෙමත් karanawa.... ඔන්න සිංහලයා බෞද්ධයන් .. thama rata- දහම සුරකින හැටි .. විලිලැජ්ජැවේ ba,YES,ලොකුවට ලෝකෙට පෙන්නන්ඩ upload එහෙමත් karanawa     ඔන්න සිංහලයා බෞද්ධයන්    thama rata  දහම සුරකින හැටි    විලිලැජ්ජැවේ ba
589,590,Hama agamakatama hama sanskruthiyakatama garu kireema.ethana thamai ape pawathma.,NO,Hama agamakatama hama sanskruthiyakatama garu kireema ethana thamai ape pawathma 
595,596,ape avajaathaka ballo passa loketama passa penvanakota vena ratavala ayata danena ape deval vala vatinakama,YES,ape avajaathaka ballo passa loketama passa penvanakota vena ratavala ayata danena ape deval vala vatinakama
602,603,කාලෙකින් දැකපු ලස්සන vedio එකක්,NO,කාලෙකින් දැකපු ලස්සන vedio එකක්
608,609,Me boy wagema train kaduna welawe udaw karapu minissu thawa ati.. Aluthgamadi slow ekata hambena,NO,Me boy wagema train kaduna welawe udaw karapu minissu thawa ati   Aluthgamadi slow ekata hambena
609,610,Athdakimen kiyanne mamanm. Dawasak balapitiyedi train eke brake eke bar ekak galawila train eka hariyatama crosing eke nawatune. Galu ena express eka clmbo walin 5.50 gana,NO,Athdakimen kiyanne mamanm  Dawasak balapitiyedi train eke brake eke bar ekak galawila train eka hariyatama crosing eke nawatune  Galu ena express eka clmbo walin 5 50 gana
610,611,Eke idapu manussayek thama eda eka yata ringagena eka gatagahala dunne. Mn eda ethana hitiya. Habi e manussaya kage kauda kiyannanm danne na,NO,Eke idapu manussayek thama eda eka yata ringagena eka gatagahala dunne  Mn eda ethana hitiya  Habi e manussaya kage kauda kiyannanm danne na
611,612,. Edath train eke hitapu e mahathwaru eyata epa kiyala elewwe na,NO,  Edath train eke hitapu e mahathwaru eyata epa kiyala elewwe na
612,613,Oya wage ayata lankawa wage rataka anagathedi thanak tiyeida kiyala kiyanna be malli..budusaranai,NO,Oya wage ayata lankawa wage rataka anagathedi thanak tiyeida kiyala kiyanna be malli  budusaranai
622,623,හිතා ගන්නත් බැ පුතා ඔයාගේ job එක මොකක්ද? නිකම් ඇහුවේ,NO,හිතා ගන්නත් බැ පුතා ඔයාගේ job එක මොකක්ද  නිකම් ඇහුවේ
630,631,ගොන් social experiment.. 3rd class වැඩ බං ඕවා.. car එකකට අත දාලා ඕවා කරපන්,YES,ගොන් social experiment   3rd class වැඩ බං ඕවා   car එකකට අත දාලා ඕවා කරපන්
631,632,අමුතුවෙන් social experiment කරන්න ඕන නෑ බූරැවෝ... ලංකාවේ මිනිස්සු කොහොමත් එකිනෙකාට උදව් කර ගන්නව... අපි අනිත් ජාතියෙන් වෙනස් වෙන්නේ එහෙමයි... ගොන් හරකෙක් මූ...,YES,අමුතුවෙන් social experiment කරන්න ඕන නෑ බූරැවෝ    ලංකාවේ මිනිස්සු කොහොමත් එකිනෙකාට උදව් කර ගන්නව    අපි අනිත් ජාතියෙන් වෙනස් වෙන්නේ එහෙමයි    ගොන් හරකෙක් මූ   
632,633,"ඔය video clip එක පාර්ලිමේන්තුවෙ මන්ත්‍රී ලා 225 ට සහ රටේ ජනාධිපතියට පෙන්නන්න ඕන , ඕක බලල වත් හැදෙන්න .",NO,ඔය video clip එක පාර්ලිමේන්තුවෙ මන්ත්‍රී ලා 225 ට සහ රටේ ජනාධිපතියට පෙන්නන්න ඕන   ඕක බලල වත් හැදෙන්න  
639,640,Honda Wadak.me video eken kiyanna hadapu de terum ganna beri moda minissu eka eka katha kiyai.ganan ganna epa.e ape minissunge hati.,NO,Honda Wadak me video eken kiyanna hadapu de terum ganna beri moda minissu eka eka katha kiyai ganan ganna epa e ape minissunge hati 
657,658,උන්ට ගේමක් දෙන්න පුළුවන් අපේ private බස් driver කෙනෙකුයි three wheel හාදයෙකුයි යැව්වනම්,NO,උන්ට ගේමක් දෙන්න පුළුවන් අපේ private බස් driver කෙනෙකුයි three wheel හාදයෙකුයි යැව්වනම්
660,661,like anek ratawala ehema unath lankawe ehema wenne NEA.. suddanta enna kiymu ape rata balnna kiyamu.,NO,like anek ratawala ehema unath lankawe ehema wenne NEA   suddanta enna kiymu ape rata balnna kiyamu 
661,662,amanussayo tikak niwan dakkanna puluwanda eka paratama? mewa tama buddagama waraddagatta than.,YES,amanussayo tikak niwan dakkanna puluwanda eka paratama  mewa tama buddagama waraddagatta than 
662,663,Boru nowei pako. ...kopamana daksha unath. ...u amma thaththata watakolu patholawage salakanne. Rajgama gedarata gihin balaapiya,YES,Boru nowei pako     kopamana daksha unath     u amma thaththata watakolu patholawage salakanne  Rajgama gedarata gihin balaapiya
664,665,Ape rate enne gotthrikayo unwa hadanna baha un thama gas gal walata wadina,YES,Ape rate enne gotthrikayo unwa hadanna baha un thama gas gal walata wadina
672,673,Canadawe ayata හිතනවද ලංකාවේ system eka hodai kiyala,NO,Canadawe ayata හිතනවද ලංකාවේ system eka hodai kiyala
675,676,a pe samahara nugat drivers la nisa chatar lankawa !,NO,a pe samahara nugat drivers la nisa chatar lankawa  
677,678,Api me loke kothanada inne kiyala hithenawa නේද ?,NO,Api me loke kothanada inne kiyala hithenawa නේද  
683,684,Thawath minihek geana hithana minissu innawanam mee puja bumiya apirisidu wenne nee,NO,Thawath minihek geana hithana minissu innawanam mee puja bumiya apirisidu wenne nee
686,687,අපේ ලංකාවේ මෙහෙම වුණානම් ඉතින් ඔය තාත්තාට sorry තමා අපේ ඉන්න කෙල්ලෝ ඔය මනුස්සයා දිහා බලන්නේවත් නැහැ,NO,අපේ ලංකාවේ මෙහෙම වුණානම් ඉතින් ඔය තාත්තාට sorry තමා අපේ ඉන්න කෙල්ලෝ ඔය මනුස්සයා දිහා බලන්නේවත් නැහැ
690,691,Ape rate enne doctors lata gahala maranna.hadana campus lamaei ne ethin. Ape rata ta mehema wasanawak kohen da.,YES,Ape rate enne doctors lata gahala maranna hadana campus lamaei ne ethin  Ape rata ta mehema wasanawak kohen da 
692,693,Ai ban sira mehema naganne,NO,Ai ban sira mehema naganne
693,694,Kiyanna kanagaatui ape lankawe mewage unanam mokakin mokak weida danne ne aa tharamatama gunayahapath kam adui,NO,Kiyanna kanagaatui ape lankawe mewage unanam mokakin mokak weida danne ne aa tharamatama gunayahapath kam adui
697,698,"Hitapu aka ape petrol wahana aran rata bi bi awidinawa ,!meka nobi pissu kelinawa",NO,Hitapu aka ape petrol wahana aran rata bi bi awidinawa   meka nobi pissu kelinawa
698,699,Ekata ape aya udgoshana witharai. Anna mahajanayage salli walin igena ganna niyama lamai.,NO,Ekata ape aya udgoshana witharai  Anna mahajanayage salli walin igena ganna niyama lamai 
702,703,May ayata tamai kiyanne Minis wesin Inna deviwaru kiyala. Budu saranai obata,NO,May ayata tamai kiyanne Minis wesin Inna deviwaru kiyala  Budu saranai obata
706,707,Manussakamata සලකනව ihalinma mahaththayo.,NO,Manussakamata සලකනව ihalinma mahaththayo 
707,708,ගොඩක් hoda දෙයක් නේද,NO,ගොඩක් hoda දෙයක් නේද
708,709,Rakiyawata hariyatama galapena kenek oya Mona agamak adahuwath oyata theruwan saranai,NO,Rakiyawata hariyatama galapena kenek oya Mona agamak adahuwath oyata theruwan saranai
709,710,Ape rate ayata mewa hoda ආදර්ශයක් වේවා!!!,NO,Ape rate ayata mewa hoda ආදර්ශයක් වේවා   
711,712,OBATA DALADA SAMIDU PIHITAI.,NO,OBATA DALADA SAMIDU PIHITAI 
712,713,menna kello ekata lankaw aun munge age idamma loku kama,NO,menna kello ekata lankaw aun munge age idamma loku kama
717,718,kawda oi me giriya yatin ka gahana eka :p epa wenawa,YES,kawda oi me giriya yatin ka gahana eka  p epa wenawa
718,719,Godak duka hithuna. E wagema gadak sathutu hithuna mewage ayagana,NO,Godak duka hithuna  E wagema gadak sathutu hithuna mewage ayagana
719,720,Jeewithe keeyak anathureda.?ai me wasa kala tharuna jeewitha apayak karaganne,NO,Jeewithe keeyak anathureda  ai me wasa kala tharuna jeewitha apayak karaganne
722,723,"Monna Hutthakda oi me. Lassana sindu mun epa karawanawa, thmanta kiyala sinduwak karaganna barinam nikan innawako me wage hoda sindu kanne nathuwa. Liyatabara sinduwatath mekkami Kare mu...",YES,Monna Hutthakda oi me  Lassana sindu mun epa karawanawa  thmanta kiyala sinduwak karaganna barinam nikan innawako me wage hoda sindu kanne nathuwa  Liyatabara sinduwatath mekkami Kare mu   
729,730,Oi cricket board ekata betting walin ena salli enne nane. Hama foreign tour ekakatama salli hambenawa loku ganak. Ekane ape ewunwa Tour yawwe palenakan. Lankawe tour ekak thibunama tickets walin arawain mewain ena salli enawa.,NO,Oi cricket board ekata betting walin ena salli enne nane  Hama foreign tour ekakatama salli hambenawa loku ganak  Ekane ape ewunwa Tour yawwe palenakan  Lankawe tour ekak thibunama tickets walin arawain mewain ena salli enawa 
730,731,මේකා Hutch එකට කරපු එක මතකද උබලට. සිම්පල් plan එකකක් මුට සල්ලි පෙරේතය...සල්ලි වලට මු ඕන දෙයක් කරනව.,YES,මේකා Hutch එකට කරපු එක මතකද උබලට  සිම්පල් plan එකකක් මුට සල්ලි පෙරේතය   සල්ලි වලට මු ඕන දෙයක් කරනව 
731,732,Mu idagena betting walin lakawa parada karawala Hari salli hambakaranawa athi.. Habai ea salli cricket board ekata hambenne na..,YES,Mu idagena betting walin lakawa parada karawala Hari salli hambakaranawa athi   Habai ea salli cricket board ekata hambenne na  
736,737,මනුස්සයෙක් දෙයක් පටන් ganna kota ape unge පුරුද්දක් tma hena tok deela ka ghana eka.... එකට එකතු wenna blanne na ape රට diyunu kranna amaru ekai bn..,NO,මනුස්සයෙක් දෙයක් පටන් ganna kota ape unge පුරුද්දක් tma hena tok deela ka ghana eka     එකට එකතු wenna blanne na ape රට diyunu kranna amaru ekai bn  
738,739,Naki deshapaluwo inna ape rate oba wage tharuna nayakayek rate nayakayek wena eka gana adambarai.,NO,Naki deshapaluwo inna ape rate oba wage tharuna nayakayek rate nayakayek wena eka gana adambarai 
739,740,Mahattaya oyata api godak adarei tamai ath illagena kanna hadanna epa oyatath minissu drohiyek vidihata salakai,NO,Mahattaya oyata api godak adarei tamai ath illagena kanna hadanna epa oyatath minissu drohiyek vidihata salakai
741,742,"මොකද ඉතින්...ඒවට විතරයි මෙයාගෙන් Video Clip එළියට එන්නෙ.පන්සල්,බුදු පිළිම තම්බියො කඩන්නෙ නැහැලු.",YES,මොකද ඉතින්   ඒවට විතරයි මෙයාගෙන් Video Clip එළියට එන්නෙ පන්සල් බුදු පිළිම තම්බියො කඩන්නෙ නැහැලු 
743,744,Apinam mahinda mathayata marenakan chande denne mahida maththayata mama oda sinhalaye ekai sinhala kama raka gannanam mahinda maththayata chance dipan sinhalayo,NO,Apinam mahinda mathayata marenakan chande denne mahida maththayata mama oda sinhalaye ekai sinhala kama raka gannanam mahinda maththayata chance dipan sinhalayo
744,745,"ballallu lawa kos ata bawanawa keyanne mekata,mun krikat gana dana gaththata deshapalane karanne khomada,aka sarayak ponseka,mewa moda weda,thawa serisena,anunge karapetin yanawa,un hora kanawa,",NO,ballallu lawa kos ata bawanawa keyanne mekata mun krikat gana dana gaththata deshapalane karanne khomada aka sarayak ponseka mewa moda weda thawa serisena anunge karapetin yanawa un hora kanawa 
746,747,Ane sago oya ape gaurawe.epa desapalanetanam enna.wadinnam.atha gourawaya ita wada watinawa.aya lowak watina wasthuwak sanga mahsththayo.lankawa hadanna sakkarayatawath bha mhaththayo,NO,Ane sago oya ape gaurawe epa desapalanetanam enna wadinnam atha gourawaya ita wada watinawa aya lowak watina wasthuwak sanga mahsththayo lankawa hadanna sakkarayatawath bha mhaththayo
747,748,Me vidihata kattiya hithala desapalanaya karana ape rata kana unta chande nodi imuko ath ahema karanne na kisima kenak ath sangata nam baninava. Devani pela haduve nalu issella Dan me inna desapalanaya karana unva evavanna ekathu vemu passe hamadeyakatama devani pelak ai,NO,Me vidihata kattiya hithala desapalanaya karana ape rata kana unta chande nodi imuko ath ahema karanne na kisima kenak ath sangata nam baninava  Devani pela haduve nalu issella Dan me inna desapalanaya karana unva evavanna ekathu vemu passe hamadeyakatama devani pelak ai
750,751,oba kumana paramarhhayak atthekdhay nodhanimi...namuth oba dhesapalneta paminiyoth obata aadhare karay siyallo...dhesapalanaya yanu kunugandha gahana dheyak wuwath ayin thama ratak goda nageemata awasya.....oba ........mahathmayek hondha piyek swamiyek emenma rate minissun aadhare karanaa minisek......,NO,oba kumana paramarhhayak atthekdhay nodhanimi   namuth oba dhesapalneta paminiyoth obata aadhare karay siyallo   dhesapalanaya yanu kunugandha gahana dheyak wuwath ayin thama ratak goda nageemata awasya     oba         mahathmayek hondha piyek swamiyek emenma rate minissun aadhare karanaa minisek      
751,752,oba kumana paramarhhayak atthekdhay nodhanimi...namuth oba dhesapalneta paminiyoth obata aadhare karay siyallo...dhesapalanaya yanu kunugandha gahana dheyak wuwath ayin thama ratak goda nageemata awasya.....oba ........mahathmayek hondha piyek swamiyek emenma rate minissun aadhare karanaa minisek......,NO,oba kumana paramarhhayak atthekdhay nodhanimi   namuth oba dhesapalneta paminiyoth obata aadhare karay siyallo   dhesapalanaya yanu kunugandha gahana dheyak wuwath ayin thama ratak goda nageemata awasya     oba         mahathmayek hondha piyek swamiyek emenma rate minissun aadhare karanaa minisek      
752,753,Thamage thiranaya hoda weida balamu desha palane nokara baida hoda wada piliwelakata yanna,NO,Thamage thiranaya hoda weida balamu desha palane nokara baida hoda wada piliwelakata yanna
753,754,Clean our mother nation kiyala project ekk unot oka,NO,Clean our mother nation kiyala project ekk unot oka
754,755,Eka ekkenaga lanu kanna epa just support someone who really love's Sri Lanka for example Nagananda Kodithuwakku .,NO,Eka ekkenaga lanu kanna epa just support someone who really love s Sri Lanka for example Nagananda Kodithuwakku  
756,757,Mokakda wede....kohomada sambannda wenne...kohedida..honda deyaknam ekenma ennam..please details...,NO,Mokakda wede    kohomada sambannda wenne   kohedida  honda deyaknam ekenma ennam  please details   
757,758,"Lankawe Deshapalaneta anawata wada hoday gedarata wela enna aka, sanga kiyana kridakaya baluwenawata api asa NE.",NO,Lankawe Deshapalaneta anawata wada hoday gedarata wela enna aka  sanga kiyana kridakaya baluwenawata api asa NE 
780,781,ME RATA HADANDA SAKKARAYAGE PUTHA WAIMA AWATH BA.ANE PAU SANGA,NO,ME RATA HADANDA SAKKARAYAGE PUTHA WAIMA AWATH BA ANE PAU SANGA
781,782,Hadanawanam ratha rakinawaname sihala jaathiya onama dayakatha api rade.,NO,Hadanawanam ratha rakinawaname sihala jaathiya onama dayakatha api rade 
783,784,පුත්තලම් බුරුවෙක්ගේ voice එක record කරල ඇහුවනම් මීට වඩා දාහෙන් සම්පතයි.,YES,පුත්තලම් බුරුවෙක්ගේ voice එක record කරල ඇහුවනම් මීට වඩා දාහෙන් සම්පතයි 
785,786,Mama mokut kiyannema namai.Topi kiyana katandara booomai.,NO,Mama mokut kiyannema namai Topi kiyana katandara booomai 
786,787,Bahujathika samagamwalata wikinene un kohomada rata hadanne,NO,Bahujathika samagamwalata wikinene un kohomada rata hadanne
790,791,Rata hadanna kalin buddha සංස්කෘතියට අනුගත වෙලා ඉන්න,NO,Rata hadanna kalin buddha සංස්කෘතියට අනුගත වෙලා ඉන්න
792,793,Oya wage Honda minissu thamai apita one sanga. I am your big fan best of luck,NO,Oya wage Honda minissu thamai apita one sanga  I am your big fan best of luck
797,798,ඇත්ත කිව්වොත් ඇතුලෙ. මරපු මන්ත්‍රී ගෙ පුතෙක් දැන් ඇමති කෙනෙක් කිව්ව නේද. Tv දෙරණ පෙනි සිටින්ඩ මේ අසරනය වෙනුවෙන්.,NO,ඇත්ත කිව්වොත් ඇතුලෙ  මරපු මන්ත්‍රී ගෙ පුතෙක් දැන් ඇමති කෙනෙක් කිව්ව නේද  Tv දෙරණ පෙනි සිටින්ඩ මේ අසරනය වෙනුවෙන් 
805,806,Match Fixing කරපු පලියට Board එකට සල්ලි හම්බවෙනවනම් ඕයි මොනා කරගන්න බැරිද? ලැජ්ජායි..සාක්ෂරතාව -0 යි,NO,Match Fixing කරපු පලියට Board එකට සල්ලි හම්බවෙනවනම් ඕයි මොනා කරගන්න බැරිද  ලැජ්ජායි  සාක්ෂරතාව  0 යි
807,808,Buki karayanta cricket daila lankwe thibba ekama kridawatath hikuwa. Mun wage un hadapu unta gaham ona.,NO,Buki karayanta cricket daila lankwe thibba ekama kridawatath hikuwa  Mun wage un hadapu unta gaham ona 
808,809,hena gahanawa yakoo munata nam mechchara pal horu inna rataka ahansaka manusseyak anika uparima sira daduwam widala eliyata awilla thawa oni nam podi kalayak jiwath wei ayeth hireta dala monawada balaporuththo wenne,NO,hena gahanawa yakoo munata nam mechchara pal horu inna rataka ahansaka manusseyak anika uparima sira daduwam widala eliyata awilla thawa oni nam podi kalayak jiwath wei ayeth hireta dala monawada balaporuththo wenne
809,810,me manussaya okkoma hira gewal ethule wena dewal kiwane ee nisada koheda ayeth athulata danna hadanne,NO,me manussaya okkoma hira gewal ethule wena dewal kiwane ee nisada koheda ayeth athulata danna hadanne
810,811,දෙරණෙ තිබ්බ program එකෙන් ඇත්ත එලි කල නිසා..බොරැ චෝදනාවකට හිරේ දාාලා පස්සේ කියාවි දැඩි ලෙස රෝගාතුර වී ජිවිතක්ෂයට පත් උනා කියලා.,NO,දෙරණෙ තිබ්බ program එකෙන් ඇත්ත එලි කල නිසා  බොරැ චෝදනාවකට හිරේ දාාලා පස්සේ කියාවි දැඩි ලෙස රෝගාතුර වී ජිවිතක්ෂයට පත් උනා කියලා 
